gene,method,wv,rmse,region,r2,mae
phoa,baseline,,-0.9519551651852836,vis,0.1828395690782103,0.7293481371891455
phoa,mi,529.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,541.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,459.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,431.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,438.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,441.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,439.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,543.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,444.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,434.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,497.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,413.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,430.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,443.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,534.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,432.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,556.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,571.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,551.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,550.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,414.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,415.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,570.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,575.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,569.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
