gene,method,wv,rmse,region,coeff,penalty,ratio,r2,mae
phoa,baseline,400,-0.9457668837817047,vis,-1.5708521176101888,4.641588833612782e-05,1.0,0.19342910669622804,0.718091034641526
phoa,baseline,401,-0.9457668837817047,vis,-0.9138796702784089,4.641588833612782e-05,1.0,0.19342910669622804,0.718091034641526
phoa,baseline,402,-0.9457668837817047,vis,-1.0096987703034275,4.641588833612782e-05,1.0,0.19342910669622804,0.718091034641526
phoa,baseline,403,-0.9457668837817047,vis,-0.13821436946582707,4.641588833612782e-05,1.0,0.19342910669622804,0.718091034641526
phoa,baseline,404,-0.9457668837817047,vis,-0.226159328205811,4.641588833612782e-05,1.0,0.19342910669622804,0.718091034641526
phoa,baseline,405,-0.9457668837817047,vis,-0.5262889018997094,4.641588833612782e-05,1.0,0.19342910669622804,0.718091034641526
phoa,baseline,406,-0.9457668837817047,vis,-0.1740615073891332,4.641588833612782e-05,1.0,0.19342910669622804,0.718091034641526
phoa,baseline,407,-0.9457668837817047,vis,-0.765946120095787,4.641588833612782e-05,1.0,0.19342910669622804,0.718091034641526
phoa,baseline,408,-0.9457668837817047,vis,-0.28763088404286014,4.641588833612782e-05,1.0,0.19342910669622804,0.718091034641526
phoa,baseline,409,-0.9457668837817047,vis,0.0002875175823863996,4.641588833612782e-05,1.0,0.19342910669622804,0.718091034641526
phoa,baseline,410,-0.9457668837817047,vis,0.0,4.641588833612782e-05,1.0,0.19342910669622804,0.718091034641526
phoa,baseline,411,-0.9457668837817047,vis,-0.04799264189941605,4.641588833612782e-05,1.0,0.19342910669622804,0.718091034641526
phoa,baseline,412,-0.9457668837817047,vis,0.36628102010366764,4.641588833612782e-05,1.0,0.19342910669622804,0.718091034641526
phoa,baseline,413,-0.9457668837817047,vis,0.34936226211228827,4.641588833612782e-05,1.0,0.19342910669622804,0.718091034641526
phoa,baseline,414,-0.9457668837817047,vis,-0.00018456805067652794,4.641588833612782e-05,1.0,0.19342910669622804,0.718091034641526
phoa,baseline,415,-0.9457668837817047,vis,0.6607953440160146,4.641588833612782e-05,1.0,0.19342910669622804,0.718091034641526
phoa,baseline,416,-0.9457668837817047,vis,3.3493462644165795e-05,4.641588833612782e-05,1.0,0.19342910669622804,0.718091034641526
phoa,baseline,417,-0.9457668837817047,vis,0.5019678332698642,4.641588833612782e-05,1.0,0.19342910669622804,0.718091034641526
phoa,baseline,418,-0.9457668837817047,vis,0.5713978856969774,4.641588833612782e-05,1.0,0.19342910669622804,0.718091034641526
phoa,baseline,419,-0.9457668837817047,vis,-0.1879105133780362,4.641588833612782e-05,1.0,0.19342910669622804,0.718091034641526
phoa,baseline,420,-0.9457668837817047,vis,-0.00020761650185863404,4.641588833612782e-05,1.0,0.19342910669622804,0.718091034641526
phoa,baseline,421,-0.9457668837817047,vis,0.21730313683563235,4.641588833612782e-05,1.0,0.19342910669622804,0.718091034641526
phoa,baseline,422,-0.9457668837817047,vis,0.001148090310151126,4.641588833612782e-05,1.0,0.19342910669622804,0.718091034641526
