Sample,TRT,Block,Irrigation,Inoculation,Resistance,Bact_g,CBBLR_g,Fungi_g,phoA_g,ureC_g,Mean350_2500,Mean560,Mean668,Mean840,Mean1450,Log16S,Logcbblr,Log18S,Logphoa,Logurec,Ratiocbblr,Ratiofungi,Ratiophoa,Ratiourec,SMC92DAS,Chl92DAS,Flav92DAS,Anth92DAS,NBI92DAS,gs92DAS,E92DAS,Fs92DAS,Fm92DAS,Photo92DAS,ETR92DAS,AirT92DAS,LeafT92DAS,CTD92DAS,Plantheightcm,Boll,Leafdrywt ,Stemdrywt,squareBolldrywt,Shootdryweight 
70,221,9,Half,Cont,Res,1.42E+09,8.16E+07,8.47E+05,2.80E+04,4.96E+05,32.79162375,21.468,6.58178,62.84952,18.95594,9.151460176,7.911550866,5.928018222,4.447335372,5.695221463,5.75E-02,5.96E-04,1.97E-05,3.49E-04,0.195,23.733,1.322,0.178,17.95,0.584054,9.856001,139.774918,265.991089,0.474513,253.783783,30.66,29.87,0.79,60.5,3,3.89,4.45,6.75,15.09
71,121,9,Full,Cont,Res,1.88E+09,1.12E+08,1.16E+06,3.11E+04,3.48E+05,24.71858406,15.57588,4.39712,48.09346,13.8437,9.274658186,8.049376662,6.065833664,4.492627182,5.5412534,5.96E-02,6.17E-04,1.65E-05,1.85E-04,0.1,17.012,1.341,0.206,12.68,0.680959,10.657061,153.640152,284.855957,0.460639,240.174469,30.68,29.56,1.12,55,2,2.36,3.73,6.35,12.44
72,222,9,Half,Cont,Susc,3.83E+09,1.90E+08,2.12E+06,3.61E+04,9.91E+05,30.52525459,19.74792,5.77962,58.88322,17.2759,9.583679294,8.279256863,6.326150559,4.557909078,5.996183126,4.96E-02,5.54E-04,9.43E-06,2.59E-04,0.085,12.993,1.665,0.277,7.8,0.095882,2.728147,198.187714,270.595551,0.267587,117.366776,30.7,32.48,-1.78,52.5,2,4.79,3.5,10.31,18.6
73,222,10,Half,Cont,Susc,4.12E+09,1.92E+08,1.40E+07,2.74E+04,1.02E+06,30.32638151,21.29882,5.67414,57.78058,18.70066,9.61440227,8.284264377,7.145063014,4.438555335,6.009722974,4.66E-02,3.40E-03,6.65E-06,2.48E-04,0.019,11.521,1.251,0.241,9.21,0.856936,10.682606,95.10791,245.442154,0.612504,345.549774,31.08,28.53,2.55,38,1,3.45,3.14,4.24,10.83
74,122,10,Full,Cont,Susc,2.34E+09,1.45E+08,1.16E+06,2.26E+04,3.57E+05,31.80226688,20.26516,6.25364,61.1551,20.71158,9.369536028,8.16174093,6.063905607,4.354056354,5.552391303,6.20E-02,4.96E-04,9.66E-06,1.53E-04,0.19,20.635,1.28,0.178,16.13,0.314417,7.056442,159.082886,189.617874,0.161034,78.376709,31.09,31.57,-0.48,64,2,6.28,5.9,5.63,17.81
75,221,10,Half,Cont,Res,4.77E+09,1.40E+08,3.38E+06,8.15E+03,4.31E+05,31.9472279,21.91964,6.15068,61.0187,18.934,9.678169453,8.145507458,6.52877397,3.910978456,5.634407376,2.94E-02,7.09E-04,1.71E-06,9.04E-05,0.167,27.975,0.981,0.156,28.52,0.639251,10.692704,130.536316,172.954559,0.245257,153.819122,30.78,30.09,0.69,41,1,2.92,4.43,3.43,10.78
76,121,10,Full,Cont,Res,3.41E+09,2.17E+08,3.18E+06,1.54E+04,5.29E+05,28.68963794,16.781,4.84208,56.52136,19.58888,9.532640497,8.335888896,6.50306284,4.18797634,5.723282408,6.36E-02,9.33E-04,4.52E-06,1.55E-04,0.178,21.289,1.194,0.18,17.82,0.652922,10.36886,251.717804,345.281494,0.270978,162.24585,30.82,29.56,1.26,61,2,2.94,3.69,7.64,14.27
77,212,10,Half,Inoc,Susc,8.49E+09,1.91E+09,1.17E+07,3.87E+04,1.47E+06,29.31588992,19.01442,5.10806,56.84382,17.12886,9.92914501,9.280571969,7.069493883,4.587523197,6.167327473,2.25E-01,1.38E-03,4.56E-06,1.73E-04,0.127,14.001,1.214,0.23,11.53,0.635091,11.178417,113.848686,160.76767,0.291843,184.902817,30.83,30.54,0.29,43,1,3.41,3.34,1.5,8.25
78,112,10,Full,Inoc,Susc,1.09E+10,8.58E+08,9.12E+06,3.62E+04,1.29E+06,30.80248688,18.72096,5.68104,60.0312,19.86774,10.03688156,8.933283164,6.960076899,4.558913368,6.110400003,7.87E-02,8.37E-04,3.32E-06,1.18E-04,0.172,13.594,1.214,0.229,11.19,0.057148,1.450392,242.273926,317.96228,0.238042,136.450592,30.85,31.19,-0.34,68.5,3,4.96,5.64,7.98,18.58
79,211,10,Half,Inoc,Res,7.66E+09,1.06E+09,1.06E+07,1.55E+04,6.81E+05,28.95744132,18.31166,5.16224,56.38558,16.8873,9.884118339,9.025673725,7.027089725,4.190043844,5.832951324,1.38E-01,1.38E-03,2.02E-06,8.89E-05,0.114,15.656,1.263,0.227,12.4,0.315374,7.931903,111.552719,136.631363,0.18355,114.133926,30.87,32.63,-1.76,46,0,2.88,3.88,2.01,8.77
80,111,10,Full,Inoc,Res,8.11E+09,3.95E+08,8.99E+06,5.98E+03,1.38E+06,31.31346716,17.52038,6.21484,61.39588,19.31294,9.908760365,8.596270623,6.953883226,3.777106378,6.140250456,4.87E-02,1.11E-03,7.37E-07,1.70E-04,0.217,27.148,1.13,0.136,24.03,0.109163,3.081961,188.271759,233.633286,0.194157,124.258133,30.9,32.58,-1.68,60,3,3,3.06,9.08,15.14
