Sample,TRT,Block,Irrigation,Inoculation,Resistance,Bact_g,CBBLR_g,Fungi_g,phoA_g,ureC_g,Mean350_2500,Mean560,Mean668,Mean840,Mean1450,Log16S,Logcbblr,Log18S,Logphoa,Logurec,Ratiocbblr,Ratiofungi,Ratiophoa,Ratiourec,SMC92DAS,Chl92DAS,Flav92DAS,Anth92DAS,NBI92DAS,gs92DAS,E92DAS,Fs92DAS,Fm92DAS,Photo92DAS,ETR92DAS,AirT92DAS,LeafT92DAS,CTD92DAS,Plantheightcm,Boll,Leafdrywt ,Stemdrywt,squareBolldrywt,Shootdryweight 
31,221,4,Half,Cont,Res,2.93E+10,5.42E+08,5.89E+06,2.46E+04,1.76E+06,33.3074177,21.6683,6.4956,64.08038,17.82272,10.4673439,8.733697993,6.77035051,4.391357871,6.246204538,1.85E-02,2.01E-04,8.40E-07,6.01E-05,0.122,7.1,1.304,0.331,3.86,0.239396,4.426478,78.71032,145.626068,0.459504,105.583412,30.77,28.85,1.92,40.6,1,2.18,2.05,5.43,9.66
32,121,4,Full,Cont,Res,2.13E+10,1.36E+08,1.42E+06,1.40E+04,8.44E+05,30.53029161,18.08522,5.35972,60.10886,18.48946,10.32798043,8.133847159,6.151979102,4.146740186,5.926295739,6.38E-03,6.67E-05,6.57E-07,3.96E-05,0.219,22.2,1.322,0.175,16.79,0.754542,9.685659,129.92012,345.437042,0.623896,170.279022,30.74,27.82,2.92,65.8,3,2.98,3.8,8.9,15.68
33,212,5,Half,Inoc,Susc,1.92E+10,3.18E+08,3.48E+06,2.87E+03,1.07E+06,33.2590671,21.9911,6.5829,63.79692,20.89936,10.28224187,8.502551511,6.541855474,3.457643572,6.029475999,1.66E-02,1.81E-04,1.49E-07,5.57E-05,0.145,11.969,1.303,0.262,9.18,0.037502,0.937182,152.857666,283.375732,0.460583,110.925674,30.73,30.66,0.07,39.5,0,3.69,3.33,0,7.02
34,122,5,Full,Cont,Susc,1.53E+10,1.89E+08,1.04E+06,2.46E+03,6.36E+05,32.34021296,21.7297,5.75858,62.33798,18.71474,10.18332339,8.27693034,6.015049666,3.391200121,5.803666232,1.24E-02,6.80E-05,1.61E-07,4.16E-05,0.204,15.152,1.335,0.216,11.35,0.730687,9.575756,116.675018,245.561951,0.524865,137.706818,30.71,27.95,2.76,54,2,3.82,3.1,7.68,14.6
35,211,5,Half,Inoc,Res,2.92E+10,5.52E+08,8.05E+06,2.97E+04,2.15E+06,33.35728264,19.8454,6.38208,65.0816,18.94458,10.46507532,8.742050338,6.905888782,4.472275031,6.332143859,1.89E-02,2.76E-04,1.02E-06,7.36E-05,0.119,25.626,1.139,0.157,22.51,0.798915,11.845653,185.935379,259.262329,0.282829,170.048004,31.03,29.63,1.4,48,1,2.77,4.37,0.59,7.73
36,121,5,Full,Cont,Res,1.21E+10,1.13E+08,6.38E+05,1.45E+03,8.35E+05,31.62029757,20.589,5.4785,61.35446,19.19144,10.08441856,8.052977486,5.805050626,3.161551141,5.921647246,9.34E-03,5.27E-05,1.20E-07,6.90E-05,0.267,19.587,1.31,0.187,14.96,0.719673,9.487088,115.057465,306.612244,0.624746,146.774353,30.72,28.33,2.39,55.5,2,2.14,3.03,6.66,11.83
37,222,5,Half,Cont,Susc,2.58E+10,4.77E+08,2.95E+06,2.21E+04,9.31E+05,33.49733644,21.97278,6.46674,64.46302,19.20542,10.41088735,8.678112106,6.470097227,4.344940051,5.968921039,1.85E-02,1.14E-04,8.57E-07,3.61E-05,0.09,18.604,1.285,0.211,14.47,0.682858,9.303567,178.279282,286.40271,0.377522,165.190323,30.73,28.51,2.22,38.5,1,3.04,2.34,5.79,11.17
38,111,5,Full,Inoc,Res,1.80E+09,6.01E+07,5.68E+05,1.19E+04,5.93E+05,33.43414716,21.01398,6.57924,64.63058,20.48576,9.254997767,7.778597198,5.754567007,4.076184811,5.773156663,3.34E-02,3.16E-04,6.61E-06,3.29E-04,0.195,16.687,1.316,0.195,12.68,0.644443,9.722261,120.83316,236.323364,0.488696,222.295364,30.75,29.29,1.46,56.5,3,3.7,4.06,7.68,15.44
39,221,5,Half,Cont,Res,2.32E+09,1.13E+08,1.16E+06,1.79E+04,9.57E+05,33.51910854,20.85934,6.70548,64.75146,18.85492,9.365665531,8.052039812,6.063867834,4.253631165,5.981103477,4.87E-02,5.00E-04,7.72E-06,4.13E-04,0.17,15.73,1.161,0.23,13.55,0.561548,8.002659,169.941544,310.709595,0.453053,132.119049,30.77,28.56,2.21,45,2,1.96,2.53,5.26,9.75
40,112,5,Full,Inoc,Susc,2.66E+09,7.42E+07,7.45E+05,1.67E+04,6.18E+05,31.46465644,19.68922,5.7444,61.39518,18.70488,9.425197124,7.870287845,5.872422514,4.223864831,5.790797984,2.79E-02,2.80E-04,6.28E-06,2.32E-04,0.236,15.012,1.361,0.216,11.03,0.582715,8.692466,160.953995,321.39801,0.499207,147.759964,30.79,28.9,1.89,56.5,2,3.8,3.36,6.13,13.29
41,212,6,Half,Inoc,Susc,2.08E+09,9.53E+07,1.23E+06,2.08E+04,6.80E+05,33.82482169,20.29156,6.43506,66.01386,19.82762,9.317203487,7.978970044,6.088144612,4.317555347,5.832322093,4.58E-02,5.91E-04,1.00E-05,3.27E-04,0.083,18.294,1.335,0.198,13.71,0.429014,7.183002,213.725204,320.162048,0.332447,107.763367,30.82,28.9,1.92,38,1,2.78,1.89,3.66,8.33
42,111,6,Full,Inoc,Res,1.64E+09,5.31E+07,1.00E+06,1.26E+04,4.03E+05,30.03433969,16.82122,5.58222,59.394,16.57096,9.215973422,7.725274442,6.00193721,4.100445099,5.605137467,3.24E-02,6.10E-04,7.68E-06,2.46E-04,0.199,16.825,1.368,0.211,12.3,0.822888,10.541538,119.803909,300.088043,0.600771,287.172729,30.84,28.11,2.73,59.5,2,3.42,3.26,6.53,13.21
43,211,6,Half,Inoc,Res,2.54E+09,1.27E+08,1.45E+06,2.32E+04,1.02E+06,30.46174854,18.7447,5.22484,59.58396,18.48386,9.405387897,8.104264419,6.160770595,4.365300665,6.009097583,5.00E-02,5.71E-04,9.13E-06,4.02E-04,0.205,18.775,1.368,0.204,13.72,0.640401,9.068049,137.496826,312.257751,0.559669,242.815308,30.86,28.16,2.7,57,2,3.73,4.04,7.15,14.92
44,112,6,Full,Inoc,Susc,2.53E+09,2.70E+08,3.61E+06,3.58E+04,1.09E+06,31.15211198,18.64692,5.99598,60.7827,19.20984,9.402720661,8.431264773,6.557740807,4.55443239,6.037263891,1.07E-01,1.43E-03,1.42E-05,4.31E-04,0.08,15.395,1.638,0.222,9.4,0.404803,6.904706,170.22908,341.490997,0.501512,139.472427,30.87,28.83,2.04,48,2,4.26,3.24,4.56,12.06
45,221,6,Half,Cont,Res,2.08E+09,1.63E+08,2.77E+06,2.57E+04,8.27E+05,33.38790897,18.3716,6.33696,65.89018,21.97822,9.317659694,8.211281727,6.443122466,4.409993398,5.917578878,7.84E-02,1.33E-03,1.24E-05,3.98E-04,0.085,9.598,1.235,0.296,7.77,0.072886,1.935699,152.21286,192.571167,0.209576,92.414566,30.87,31.4,-0.53,56.5,1,3.86,5.42,3.86,13.14
46,122,6,Full,Cont,Susc,2.25E+09,2.32E+08,2.14E+06,2.59E+04,1.66E+06,32.86469041,20.87318,6.22832,63.73436,19.02556,9.352877456,8.365363391,6.330324206,4.41326653,6.220748841,1.03E-01,9.51E-04,1.15E-05,7.38E-04,0.214,16.606,1.23,0.211,13.5,0.647025,9.166937,127.761482,261.93988,0.512249,297.454773,30.89,28.3,2.59,55.5,3,3.25,2.8,11.64,17.69
47,222,6,Half,Cont,Susc,1.46E+09,1.35E+08,2.01E+06,2.15E+04,6.22E+05,35.55265822,22.6218,7.3108,68.34112,22.02258,9.16576536,8.128808406,6.304062937,4.333341779,5.79387467,9.25E-02,1.38E-03,1.47E-05,4.26E-04,0.117,14.243,1.143,0.227,12.46,0.104774,3.041797,83.511116,131.601685,0.365425,91.249191,30.9,32.61,-1.71,40.5,0,4.88,3.62,0.25,8.75
48,121,6,Full,Cont,Res,3.38E+09,2.27E+08,5.53E+06,3.20E+04,1.98E+06,31.47722184,17.99538,5.40106,62.37012,18.44462,9.529305341,8.355520675,6.743089687,4.505528955,6.296855069,6.72E-02,1.64E-03,9.47E-06,5.86E-04,0.145,20.526,1.241,0.186,16.55,0.776455,10.384518,124.250648,255.260468,0.51324,251.322418,30.97,28.23,2.74,60,2,2.97,3.31,8.56,14.84
49,221,7,Half,Cont,Res,1.99E+09,2.40E+08,3.10E+06,4.30E+04,5.74E+05,33.67538894,21.9522,6.59228,64.75766,18.6094,9.299452182,8.379509685,6.491524253,4.633780233,5.758965456,1.21E-01,1.56E-03,2.16E-05,2.88E-04,0.148,7.654,1.598,0.316,4.79,0.604634,9.223,125.800255,233.723404,0.461756,179.635574,30.98,28.84,2.14,48,1,2.72,3.65,3.81,10.18
50,122,7,Full,Cont,Susc,2.64E+09,2.38E+08,2.62E+06,1.48E+04,7.84E+05,32.2883855,20.80354,5.77446,62.79266,19.32198,9.421256973,8.376819766,6.417970868,4.169964299,5.89410206,9.02E-02,9.92E-04,5.61E-06,2.97E-04,0.149,18.889,1.241,0.187,15.23,0.637902,8.627398,117.964622,328.058136,0.640415,252.813202,30.99,27.72,3.27,61.5,2,6.17,5.23,9.5,20.9
51,222,7,Half,Cont,Susc,2.20E+09,1.93E+08,1.49E+06,1.27E+04,4.93E+05,32.6218921,21.0242,6.54792,62.6609,19.42362,9.343328982,8.286043841,6.171785692,4.102600977,5.69268672,8.77E-02,6.77E-04,5.77E-06,2.24E-04,0.101,15.63,1.139,0.156,13.73,0.081228,2.307993,149.830338,194.879654,0.231165,83.520866,30.99,32.21,-1.22,43.5,1,4.37,3.61,2.61,10.59
52,121,7,Full,Cont,Res,2.45E+09,1.74E+08,1.53E+06,2.11E+04,1.01E+06,29.05831469,18.12332,5.83748,56.01352,17.96926,9.389472494,8.241499254,6.184960717,4.32373344,6.004156551,7.10E-02,6.24E-04,8.61E-06,4.12E-04,0.197,23.663,1.313,0.157,15.09,0.643946,8.76701,121.401428,287.357574,0.577525,334.870728,31.01,28.07,2.94,67,3,4.29,4.49,11.57,20.35
53,212,7,Half,Inoc,Susc,2.41E+09,2.44E+08,1.82E+06,1.62E+04,6.56E+05,32.64258504,19.93786,6.21308,63.52388,19.62788,9.381981432,8.388083965,6.260215353,4.209790391,5.817150485,1.01E-01,7.55E-04,6.72E-06,2.72E-04,0.034,10.524,1.204,0.289,8.74,0.344649,6.244538,180.364609,285.417084,0.368067,135.305252,31.03,29.3,1.73,42,1,4.06,3.36,2.22,9.64
54,112,7,Full,Inoc,Susc,4.38E+09,1.42E+08,2.47E+06,6.75E+04,1.06E+06,31.46568713,20.95542,5.69502,60.59894,19.24952,9.641201496,8.152223232,6.392883802,4.82904911,6.026184604,3.24E-02,5.64E-04,1.54E-05,2.42E-04,0.278,10.492,1.335,0.316,7.86,0.024204,0.658786,133.719559,222.454544,0.39889,156.670807,31.07,31.44,-0.37,55.5,2,3.54,3.54,4.7,11.78
55,211,7,Half,Inoc,Res,2.39E+09,1.89E+08,2.05E+06,3.12E+04,5.54E+05,26.44975094,16.57716,5.58436,50.64936,17.90656,9.377892653,8.276810115,6.312741174,4.494319645,5.743821355,7.91E-02,8.58E-04,1.31E-05,2.32E-04,0.027,20.509,1.194,0.175,17.17,0.26139,4.883758,127.220749,343.432556,0.629561,189.026642,31.1,29.12,1.98,49,0,3.59,4.64,0.65,8.88
56,111,7,Full,Inoc,Res,2.35E+09,1.37E+08,1.57E+06,2.33E+04,8.11E+05,31.92513637,20.12338,5.6809,62.0418,18.30536,9.370338845,8.135873908,6.194921903,4.368141408,5.909136443,5.83E-02,6.68E-04,9.91E-06,3.45E-04,0.174,21.709,1.05,0.165,20.68,0.672295,9.722795,160.015228,336.60257,0.524617,136.664459,31.1,28.75,2.35,66,2,3.87,5.22,7.83,16.92
